tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
ท่าโรง,ThaRong,เพชรบูรณ์,Phetchabun,15.66,101.141,15,12,3
ท่าโรง,ThaRong,เพชรบูรณ์,Phetchabun,15.66,101.141,102,85,17
บ้านแก้ง,BanKaeng,สระแก้ว,Sa kaeo,13.984,101.99,26,17,9
โคกนาโก,KhokNaKo,ยโสธร,Yasothon,15.925,104.43,8,7,1
หาดยาย,HatYai,ชุมพร,Chumphon,9.96,98.956,21,7,14
น้ำหัก,NamHak,สุราษฎร์ธานี,Surat Thani,9.157,98.824,8,4,4
นาคำ,NaKham,นครพนม,Nakhon Phanom,17.619,104.354,19,6,13
สะท้อน,SaThon,สงขลา,Songkhla,6.622,100.673,10,6,4
ศรีสองรัก,SiSongRak,เลย,Loei,17.642,101.769,12,6,6
แม่สุก,MaeSuk,ลำปาง,Lampang,18.836,99.578,10,5,5
โซ่,,บึงกาฬ,Bueng Kan,18.039,103.391,10,7,3
โซ่,,บึงกาฬ,Bueng Kan,18.039,103.391,13,9,4
บ้านแหร,BanRae,ยะลา,Yala,6.105,101.204,21,14,7
บางเตย,BangToei,พังงา,Phang-nga,8.407,98.575,14,8,6
คำเขื่อนแก้ว,KhamKhueanKaeo,อุบลราชธานี,Ubon Ratchathani,15.24,105.507,186,59,127
คำเลาะ,KhamLo,อุดรธานี,Udon Thani,17.212,103.345,6,4,2
พระนอน,PhraNon,นครสวรรค์,Nakhon Sawan,15.663,100.216,12,9,3
ท่าไม้รวก,ThaMaiRuak,เพชรบุรี,Phetchaburi,12.847,99.814,13,10,3
คึกคัก,KhuekKhak,พังงา,Phang-nga,8.698,98.28,144,93,51
คู้ยายหมี,KhuYaiMi,ฉะเชิงเทรา,Chachoengsao,13.644,101.461,29,20,9
คู้ยายหมี,KhuYaiMi,ฉะเชิงเทรา,Chachoengsao,13.644,101.461,34,13,21
วังไผ่,WangPhai,กาญจนบุรี,Kanchanaburi,14.434,99.597,3,1,2
หนองกรด,NongKrot,นครสวรรค์,Nakhon Sawan,15.997,100.095,15,13,2
ศาลาลำดวน,SalaLamduan,สระแก้ว,Sa kaeo,13.838,101.964,37,23,14
ศาลาลำดวน,SalaLamduan,สระแก้ว,Sa kaeo,13.838,101.964,14,6,8
โคกมน,KhokMon,เพชรบูรณ์,Phetchabun,16.709,101.71,0,0,0
สินเจริญ,SinCharoen,สุราษฎร์ธานี,Surat Thani,8.339,99.245,1,0,1
หนองไร่,NongRai,ระยอง,Rayong,13.039,101.338,19,10,9
สามผง,SamPhong,นครพนม,Nakhon Phanom,17.73,104.164,18,7,11
เขาดิน,KhaoDin,กระบี่,Krabi,8.342,99.167,23,6,17
ท่าใหญ่,ThaYai,ชัยภูมิ,Chaiyaphum,16.028,101.624,11,7,4
ทุ่งพอ,ThungPho,สงขลา,Songkhla,6.553,100.91,2,1,1
ธาตุทอง,ThatThong,ชัยภูมิ,Chaiyaphum,16.235,102.16,24,22,2
หนองแวง,NongWaeng,นครพนม,Nakhon Phanom,17.785,104.233,35,11,24
ไพรพัฒนา,PhraiPhatthana,ศรีสะเกษ,Si Sa Ket,14.426,104.085,16,4,12
หนองย่างทอย,NongYangThoi,เพชรบูรณ์,Phetchabun,15.402,101.252,17,13,4
ห้วยจันทร์,HuaiChan,ศรีสะเกษ,Si Sa Ket,14.465,104.353,14,7,7
ดงพญา,DongPhaya,น่าน,Nan,19.22,101.198,16,6,10
โคกงาม,KhokNgam,เลย,Loei,17.385,101.233,15,8,7
ท่าลาด,ThaLat,นครราชสีมา,Nakhon Ratchasima,15.243,102.72,5,3,2
แม่วงก์,MaeWong,นครสวรรค์,Nakhon Sawan,15.781,99.57,8,6,2
หนองงิ้ว,NongNgio,เลย,Loei,17.374,101.571,8,3,5
แม่นาจาง,MaeNaChang,แม่ฮ่องสอน,Mae Hong Son,18.529,98.093,2,2,0
ทุ่งสมอ,ThungSamo,เพชรบูรณ์,Phetchabun,16.717,100.962,10,8,2
สระแก้ว,SaKaeo,เพชรบูรณ์,Phetchabun,15.894,101.324,5,3,2
หนองอิรุณ,NongIRun,ชลบุรี,Chon Buri,13.28,101.247,155,94,61
เทพเสด็จ,ThepSadet,เชียงใหม่,Chiang Mai,18.956,99.326,182,91,91
ริมสีม่วง,RimSiMuang,เพชรบูรณ์,Phetchabun,16.52,101.042,5,3,2
นาทวี,NaThawi,สงขลา,Songkhla,6.693,100.777,5,1,4
นาทวี,NaThawi,สงขลา,Songkhla,6.693,100.777,21,14,7
เขาน้อย,KhaoNoi,นครศรีธรรมราช,Nakhon Si Thammarat,8.945,99.787,6,3,3
ด่านซ้าย,DanSai,เลย,Loei,17.267,101.155,5,3,2
ด่านซ้าย,DanSai,เลย,Loei,17.267,101.155,3,2,1
วังสวาบ,WangSawap,ขอนแก่น,Khon Kaen,16.714,101.817,5,3,2
บ้านค่า,BanKha,ลำปาง,Lampang,18.52,99.414,4,2,2
ภูเขาทอง,PhuKhaoThong,นราธิวาส,Narathiwat,5.796,101.7,1,0,1
วังชมภู,WangChomphu,ชัยภูมิ,Chaiyaphum,16.119,101.578,19,13,6
บ้านค้อ,BanKho,ขอนแก่น,Khon Kaen,16.569,102.753,20,16,4
วังอ่าง,WangAng,นครศรีธรรมราช,Nakhon Si Thammarat,7.927,99.886,1,0,1
หัวฝาย,HuaFai,แพร่,Phrae,17.961,100.188,3,1,2
บ้านแก้ง,BanKaeng,ชัยภูมิ,Chaiyaphum,16.42,102.049,10,9,1
กลาง,Klang,อุบลราชธานี,Ubon Ratchathani,14.797,105.141,15,7,8
หนองหญ้าปล้อง,NongYaPlong,เลย,Loei,17.234,101.926,22,13,9
บ้านส้อง,BanSong,สุราษฎร์ธานี,Surat Thani,8.645,99.42,7,2,5
บ้านส้อง,BanSong,สุราษฎร์ธานี,Surat Thani,8.645,99.42,110,54,56
บ้านตาด,BanTat,อุดรธานี,Udon Thani,17.292,102.762,43,38,5
หนองมะค่าโมง,NongMakhaMong,สุพรรณบุรี,Suphan Buri,14.882,99.737,13,6,7
หนองมะค่าโมง,NongMakhaMong,สุพรรณบุรี,Suphan Buri,14.882,99.737,25,13,12
วังไทร,WangSai,นครราชสีมา,Nakhon Ratchasima,14.706,101.573,21,16,5
ทัพรั้ง,ThapRang,นครราชสีมา,Nakhon Ratchasima,15.406,101.976,5,5,0
ตะเคียน,Takhian,นครราชสีมา,Nakhon Ratchasima,15.124,101.724,7,6,1
ทาแม่ลอบ,ThaMaeLop,ลำพูน,Lamphun,18.241,98.97,3,2,1
พังขว้าง,PhangKhwang,สกลนคร,Sakon Nakhon,17.177,104.017,14,11,3
กุดไห,KutHai,สกลนคร,Sakon Nakhon,17.1,103.696,0,0,0
สุขไพบูลย์,SukPhaibun,นครราชสีมา,Nakhon Ratchasima,14.526,102.448,29,21,8
ทองมงคล,ThongMongkhon,ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.204,99.369,366,179,187
ท่าอิบุญ,ThaIBun,เพชรบูรณ์,Phetchabun,16.889,101.346,2,2,0
หนองกรด,NongKrot,นครสวรรค์,Nakhon Sawan,15.724,99.997,35,18,17
หนองกรด,NongKrot,นครสวรรค์,Nakhon Sawan,15.724,99.997,7,3,4
เกาะช้าง,KoChang,ตราด,Trat,12.07,102.321,342,191,151
เกาะปันหยี,KoPanyi,พังงา,Phang-nga,8.317,98.539,0,0,0
หนองหญ้าขาว,NongYaKhao,นครราชสีมา,Nakhon Ratchasima,14.959,101.574,7,5,2
ครน,Khron,ชุมพร,Chumphon,10.311,99.063,16,8,8
บ้านนา,BanNa,พัทลุง,Phatthalung,7.559,99.868,3,2,1
หนองจอก,NongChok,อุทัยธานี,Uthai Thani,15.047,99.685,8,3,5
ท่าเกวียน,ThaKwian,สระแก้ว,Sa kaeo,13.666,102.251,15,7,8
ทุ่งทอง,ThungThong,นครสวรรค์,Nakhon Sawan,15.937,100.713,2,2,0
ยางโกลน,YangKlon,พิษณุโลก,Phitsanulok,17.207,100.95,1,0,1
นายาง,NaYang,อุตรดิตถ์,Uttaradit,17.318,100.21,4,3,1
โคกมะม่วง,KhokMamuang,บุรีรัมย์,Buri Ram,14.402,102.612,12,9,3
บางสัก,BangSak,ตรัง,Trang,7.397,99.383,4,2,2
ห้วยน้ำขาว,HuaiNamKhao,กระบี่,Krabi,7.866,99.126,16,7,9
ชุมพลบุรี,ChumphonBuri,สุรินทร์,Surin,15.377,103.411,5,4,1
ชุมพลบุรี,ChumphonBuri,สุรินทร์,Surin,15.377,103.411,3,1,2
กลางดง,KlangDong,นครราชสีมา,Nakhon Ratchasima,14.65,101.283,16,12,4
กลางดง,KlangDong,นครราชสีมา,Nakhon Ratchasima,14.65,101.283,9,5,4
นบพิตำ,Nopphitam,นครศรีธรรมราช,Nakhon Si Thammarat,8.744,99.772,0,0,0
ทรายทอง,SaiThong,ประจวบคีรีขันธ์,Prachuap Khiri Khan,11.011,99.424,51,30,21
ดอนแสลบ,DonSalaep,กาญจนบุรี,Kanchanaburi,14.292,99.701,22,14,8
หนองแซง,NongSaeng,ชัยนาท,Chai Nat,15.107,99.973,7,3,4
หินกอง,HinKong,ร้อยเอ็ด,Roi Et,15.599,103.73,4,3,1
แม่อาย,MaeAi,เชียงใหม่,Chiang Mai,20.065,99.262,1197,609,588
แม่อาย,MaeAi,เชียงใหม่,Chiang Mai,20.065,99.262,1220,608,612
พัฒนานิคม,PhatthanaNikhom,ลพบุรี,Lop Buri,14.896,100.966,27,13,14
พัฒนานิคม,PhatthanaNikhom,ลพบุรี,Lop Buri,14.896,100.966,147,64,83
หายโศก,HaiSok,อุดรธานี,Udon Thani,17.692,102.531,10,4,6
ปะตง,Patong,จันทบุรี,Chanthaburi,13.17,102.194,10,7,3
ปะตง,Patong,จันทบุรี,Chanthaburi,13.17,102.194,203,98,105
หินดาด,HinDat,นครราชสีมา,Nakhon Ratchasima,15.149,101.618,5,4,1
บึงนคร,BuengNakhon,ประจวบคีรีขันธ์,Prachuap Khiri Khan,12.403,99.655,225,122,103
สินปุน,SinPun,กระบี่,Krabi,8.277,99.295,19,14,5
คลองกวาง,KhlongKwang,สงขลา,Songkhla,6.636,100.61,12,9,3
ศรีดอนชัย,ศรีดอนชัย,เชียงราย,Chiang Rai,20.15,100.324,138,27,111
เหล่าหมี,LaoMi,มุกดาหาร,Mukdahan,16.346,104.781,34,15,19
กันจุ,KanChu,เพชรบูรณ์,Phetchabun,15.817,101.075,40,23,17
บันนังสตา,BannangSata,ยะลา,Yala,6.25,101.233,7,3,4
บันนังสตา,BannangSata,ยะลา,Yala,6.25,101.233,0,0,0
ซับน้อย,SapNoi,เพชรบูรณ์,Phetchabun,15.657,100.858,3,2,1
ปาล์มพัฒนา,PamPhatthana,สตูล,Satun,7.038,99.934,3,2,1
วังชมภู,WangChomphu,เพชรบูรณ์,Phetchabun,16.266,101.027,23,16,7
วังชมภู,WangChomphu,เพชรบูรณ์,Phetchabun,16.266,101.027,13,9,4
ลาดหญ้า,LatYa,กาญจนบุรี,Kanchanaburi,14.138,99.419,55,25,30
ลาดหญ้า,LatYa,กาญจนบุรี,Kanchanaburi,14.138,99.419,25,12,13
นครเจดีย์,NakhonChedi,ลำพูน,Lamphun,18.371,98.898,254,118,136
ห้วยยาง,HuaiYang,สกลนคร,Sakon Nakhon,17.095,104.033,14,11,3
หนองตาคง,NongTaKhong,จันทบุรี,Chanthaburi,13.067,102.381,83,35,48
ลำปำ,LamPam,พัทลุง,Phatthalung,7.648,100.188,2,2,0
ลำปำ,LamPam,พัทลุง,Phatthalung,7.648,100.188,3,2,1
สบป้าน,SopPat,ลำปาง,Lampang,18.25,99.807,9,6,3
โคกม่วง,KhokMuang,หนองบัวลำภู,Nong Bua Lam Phu,16.892,102.4,6,2,4
หาดคัมภีร์,HatKhamphi,เลย,Loei,18.111,102.01,82,29,53
ท่าผาปุ้ม,ThaPhaPum,แม่ฮ่องสอน,Mae Hong Son,18.315,97.991,58,38,20
ไร่,Rai,สกลนคร,Sakon Nakhon,17.274,103.846,7,4,3
ทุ่งฮั้ว,ThungHua,ลำปาง,Lampang,19.229,99.631,8,6,2
ตบหู,TopHu,อุบลราชธานี,Ubon Ratchathani,14.702,105.09,4,1,3
ท่าพล,ThaPhon,เพชรบูรณ์,Phetchabun,16.59,101.134,25,17,8
ท่าพล,ThaPhon,เพชรบูรณ์,Phetchabun,16.59,101.134,23,15,8
ถ้ำใหญ่,ThamYai,นครศรีธรรมราช,Nakhon Si Thammarat,8.164,99.742,11,8,3
ป่าร่อน,PaRon,สุราษฎร์ธานี,Surat Thani,8.97,99.521,62,36,26
วังบ่อ,WangBo,นครสวรรค์,Nakhon Sawan,15.783,100.649,2,1,1
หนองนกแก้ว,NongNokKaeo,กาญจนบุรี,Kanchanaburi,14.516,99.655,17,11,6
บ้านเดื่อ,BanDuea,ชัยภูมิ,Chaiyaphum,16.089,101.908,6,5,1
แม่พูล,MaePhun,อุตรดิตถ์,Uttaradit,17.746,99.968,2,2,0
แม่พูล,MaePhun,อุตรดิตถ์,Uttaradit,17.746,99.968,1,1,0
นาดินดำ,NaDinDam,เลย,Loei,17.455,101.842,34,11,23
สีขีด,SiKhit,นครศรีธรรมราช,Nakhon Si Thammarat,9.023,99.786,12,4,8
บ้านใหม่สามัคคี,BanMaiSamakkhi,ลพบุรี,Lop Buri,15.258,101.022,0,0,0
เจ๊ะบิลัง,CheBiLang,สตูล,Satun,6.687,99.965,2,1,1
เจ๊ะบิลัง,CheBiLang,สตูล,Satun,6.687,99.965,18,9,9
นิยมชัย,NiyomChai,ลพบุรี,Lop Buri,15.183,100.904,5,3,2
ท่าเกษม,ThaKasem,สระแก้ว,Sa kaeo,13.766,102.164,31,10,21
ท่าเกษม,ThaKasem,สระแก้ว,Sa kaeo,13.766,102.164,14,9,5
ท่าเกษม,ThaKasem,สระแก้ว,Sa kaeo,13.766,102.164,4,4,0
ออย,Oi,พะเยา,Phayao,19.211,100.329,5,1,4
ทุ่งหัวช้าง,ThungHuaChang,ลำพูน,Lamphun,17.983,99.048,0,0,0
ทุ่งหัวช้าง,ThungHuaChang,ลำพูน,Lamphun,17.983,99.048,4,1,3
แหลมสัก,LaemSak,กระบี่,Krabi,8.304,98.65,2,1,1
แหลมสัก,LaemSak,กระบี่,Krabi,8.304,98.65,1,0,1
บัวชุม,BuaChum,ลพบุรี,Lop Buri,15.176,101.238,4,4,0
เมืองปาน,MueangPan,ลำปาง,Lampang,18.797,99.446,3,1,2
เสาธงชัย,SaoThongChai,ศรีสะเกษ,Si Sa Ket,14.447,104.685,32,12,20
โนนดินแดง,NonDinDaeng,บุรีรัมย์,Buri Ram,14.316,102.721,13,9,4
โนนดินแดง,NonDinDaeng,บุรีรัมย์,Buri Ram,14.316,102.721,34,28,6
หนองไม้แก่น,NongMaiKaen,ฉะเชิงเทรา,Chachoengsao,13.504,101.404,32,14,18
คลองไผ่,KhlongPhai,นครราชสีมา,Nakhon Ratchasima,14.883,101.515,2,0,2
คลองไผ่,KhlongPhai,นครราชสีมา,Nakhon Ratchasima,14.883,101.515,21,11,10
นาหนัง,NaNang,หนองคาย,Nong Khai,17.888,103.136,19,12,7
นาฝาย,NaFai,ชัยภูมิ,Chaiyaphum,15.919,101.982,17,13,4
บ้านอ้อน,BanOn,ลำปาง,Lampang,18.788,99.852,21,10,11
สันทะ,Santha,น่าน,Nan,18.276,100.567,6,5,1
บ้านเหล่า,BanLao,สกลนคร,Sakon Nakhon,17.699,103.524,10,8,2
ธารน้ำทิพย์,ThanNamThip,ยะลา,Yala,5.686,101.141,30,16,14
นาใน,NaNai,สกลนคร,Sakon Nakhon,17.207,103.821,3,1,2
หนองกลับ,NongKlap,นครสวรรค์,Nakhon Sawan,15.924,100.614,5,4,1
หนองกลับ,NongKlap,นครสวรรค์,Nakhon Sawan,15.924,100.614,13,3,10
หนองแวง,NongWaeng,นครราชสีมา,Nakhon Ratchasima,15.256,101.436,4,1,3
บ้านเหล่า,BanLao,มุกดาหาร,Mukdahan,16.686,104.282,3,2,1
บ้านพี้,BanPhi,น่าน,Nan,18.907,100.425,2,1,1
ทุ่งขนาน,ThungKhanan,จันทบุรี,Chanthaburi,13.232,102.319,55,30,25
ชุมแสง,ChumSaeng,ระยอง,Rayong,12.956,101.526,28,18,10
ชุมแสง,ChumSaeng,ระยอง,Rayong,12.956,101.526,47,22,25
หนองโรง,NongRong,กาญจนบุรี,Kanchanaburi,14.162,99.622,9,3,6
ป่าไผ่,PaPhai,ลำพูน,Lamphun,17.855,98.936,13,6,7
นางิ้ว,NaNgio,หนองคาย,Nong Khai,18.092,102.125,8,2,6
วังไทร,WangSai,กำแพงเพชร,Kamphaeng Phet,16.2,99.631,6,4,2
เขาทราย,KhaoSai,พิจิตร,Phichit,16.193,100.637,3,0,3
เขาทราย,KhaoSai,พิจิตร,Phichit,16.193,100.637,3,1,2
กะไหล,Kalai,พังงา,Phang-nga,8.285,98.477,19,7,12
ทุ่งคาโงก,ThungKhaNgok,พังงา,Phang-nga,8.554,98.438,5,1,4
นาป่า,NaPa,เพชรบูรณ์,Phetchabun,16.39,101.218,18,12,6
ตลิ่งชัน,TalingChan,ยะลา,Yala,6.271,101.352,2,1,1
ภูแลนคา,PhuLaenKha,ชัยภูมิ,Chaiyaphum,15.876,101.84,1,1,0
คลองขุด,KhlongKhut,สตูล,Satun,6.625,100.12,17,11,6
บางชัน,BangChan,จันทบุรี,Chanthaburi,12.346,102.31,5,2,3
กุดบาก,KutBak,สกลนคร,Sakon Nakhon,17.051,103.762,2,1,1
กุดบาก,KutBak,สกลนคร,Sakon Nakhon,17.051,103.762,4,2,2
นาเสียว,NaSiao,ชัยภูมิ,Chaiyaphum,15.941,102.11,6,4,2
ชะอม,Cha-Om,สระบุรี,Saraburi,14.418,101.134,9,6,3
หนองมะค่า,NongMakha,ลพบุรี,Lop Buri,15.515,100.839,2,0,2
ตองโขบ,TongKhop,สกลนคร,Sakon Nakhon,17.01,104.257,11,9,2
ดอยแก้ว,DoiKaeo,เชียงใหม่,Chiang Mai,18.39,98.576,12,9,3
ดอยแก้ว,DoiKaeo,เชียงใหม่,Chiang Mai,18.39,98.576,10,6,4
ตะโก,Tako,ชุมพร,Chumphon,10.056,98.974,9,4,5
หนองสนม,NongSanom,สกลนคร,Sakon Nakhon,17.526,103.86,13,6,7
นาหนองทุ่ม,NaNongThum,ชัยภูมิ,Chaiyaphum,16.032,102.164,0,0,0
นาหนองทุ่ม,NaNongThum,ชัยภูมิ,Chaiyaphum,16.032,102.164,7,7,0
ส้าน,San,น่าน,Nan,18.464,100.729,19,6,13
สันดอนแก้ว,SanDonKaeo,ลำปาง,Lampang,17.984,99.484,5,3,2
คลองเฉลิม,KhlongChaLoem,พัทลุง,Phatthalung,7.349,99.958,5,1,4
ทุ่งหลวง,ThungLuang,ราชบุรี,Ratchaburi,13.411,99.683,94,56,38
ทาปลาดุก,ThaPlaDuk,ลำพูน,Lamphun,18.532,99.245,19,12,7
วังม่วง,WangMuang,สระบุรี,Saraburi,14.861,101.151,5,3,2
วังม่วง,WangMuang,สระบุรี,Saraburi,14.861,101.151,3,1,2
หินตั้ง,HinTang,นครนายก,Nakhon Nayok,14.408,101.352,6,2,4
บางแก้ว,BangKaeo,ระนอง,Ranong,10.179,98.78,81,41,40
โพธิ์ประสาท,PhoPrasat,นครสวรรค์,Nakhon Sawan,15.44,100.587,2,0,2
บางพระเหนือ,BangPhraNuea,ระนอง,Ranong,10.022,98.731,11,6,5
เชียงม่วน,ChiangMuan,พะเยา,Phayao,18.888,100.334,14,8,6
คำอาฮวน,KhamAHuan,มุกดาหาร,Mukdahan,16.494,104.667,32,22,10
สามกระทาย,SamKrathai,ประจวบคีรีขันธ์,Prachuap Khiri Khan,12.148,99.843,13,5,8
สามกระทาย,SamKrathai,ประจวบคีรีขันธ์,Prachuap Khiri Khan,12.148,99.843,1,0,1
ท่าศาลา,ThaSala,เลย,Loei,17.391,101.463,9,3,6
จุน,Chun,พะเยา,Phayao,19.282,100.152,29,19,10
ป่าคา,PaKha,น่าน,Nan,19.107,100.665,39,18,21
ผานกเค้า,PhaNokKhao,เลย,Loei,16.896,101.986,10,5,5
ผานกเค้า,PhaNokKhao,เลย,Loei,16.896,101.986,2,2,0
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.275,99.707,31,21,10
ดอนสัก,DonSak,สุราษฎร์ธานี,Surat Thani,9.275,99.707,61,29,32
เขาพระงาม,KhaoPhraNgam,ลพบุรี,Lop Buri,14.901,100.67,13,6,7
ถ้ำกระต่ายทอง,ThamKrataiThong,กำแพงเพชร,Kamphaeng Phet,16.729,99.541,5,3,2
ถ้ำกระต่ายทอง,ThamKrataiThong,กำแพงเพชร,Kamphaeng Phet,16.729,99.541,2,1,1
ยางฮอม,YangHom,เชียงราย,Chiang Rai,19.924,100.306,87,43,44
ดอยลาน,DoiLan,เชียงราย,Chiang Rai,19.682,99.945,76,33,43
มาบตาพุด,Maptaphut,ระยอง,Rayong,12.701,101.188,115,55,60
ชุมแสงสงคราม,ChumSaengSongkhram,พิษณุโลก,Phitsanulok,16.76,99.977,13,2,11
วังหิน,WangHin,เพชรบูรณ์,Phetchabun,16.387,100.754,6,1,5
ปากแจ่ม,PakChaem,ตรัง,Trang,7.737,99.724,2,2,0
เขาแก้ว,KhaoKaeo,เลย,Loei,17.82,101.781,20,7,13
สงยาง,SongYang,อุบลราชธานี,Ubon Ratchathani,15.623,105.286,32,15,17
คลองพลู,KhlongPhlu,จันทบุรี,Chanthaburi,12.931,102.014,20,11,9
ปังหวาน,PangWan,ชุมพร,Chumphon,9.951,98.866,2,1,1
อ่างหิน,AngHin,ราชบุรี,Ratchaburi,13.46,99.626,30,17,13
หัวหวาย,HuaWai,นครสวรรค์,Nakhon Sawan,15.384,100.383,9,3,6
วังตะเคียน,WangTakhian,ปราจีนบุรี,Prachin Buri,13.849,101.87,10,3,7
แก่งโสภา,KaengSopha,พิษณุโลก,Phitsanulok,16.907,100.625,21,13,8
ปากจั่น,PakChan,ระนอง,Ranong,10.575,98.832,218,118,100
หนองตาแต้ม,NongTaTaem,ประจวบคีรีขันธ์,Prachuap Khiri Khan,12.38,99.814,95,55,40
หนองตาแต้ม,NongTaTaem,ประจวบคีรีขันธ์,Prachuap Khiri Khan,12.38,99.814,19,7,12
น้ำร้อน,NamRon,เพชรบูรณ์,Phetchabun,15.687,101.306,6,3,3
ช่องเม็ก,ChongMek,อุบลราชธานี,Ubon Ratchathani,15.126,105.414,417,122,295
ช่องเม็ก,ChongMek,อุบลราชธานี,Ubon Ratchathani,15.126,105.414,162,23,139
แม่สาว,MaeSao,เชียงใหม่,Chiang Mai,20.06,99.168,1971,1027,944
นาแส่ง,NaSaeng,ลำปาง,Lampang,18.074,99.381,5,3,2
หนองซน,NongSon,นครพนม,Nakhon Phanom,17.866,104.147,10,8,2
แม่โถ,MaeTho,แม่ฮ่องสอน,Mae Hong Son,18.609,98.032,14,5,9
สระคู,SaKhu,ร้อยเอ็ด,Roi Et,15.552,103.766,13,10,3
สระคู,SaKhu,ร้อยเอ็ด,Roi Et,15.552,103.766,10,5,5
ธาตุ,That,สกลนคร,Sakon Nakhon,17.641,103.651,13,7,6
ท่าศิลา,ThaSila,สกลนคร,Sakon Nakhon,17.284,103.387,11,5,6
โคกเจริญ,KhokCharoen,ลพบุรี,Lop Buri,15.408,100.777,2,1,1
กกดู่,KokDu,เลย,Loei,17.604,101.635,38,14,24
นาหว้า,NaWa,ขอนแก่น,Khon Kaen,16.721,102.572,4,3,1
กะเปอร์,Kapoe,ระนอง,Ranong,9.623,98.621,183,90,93
กะเปอร์,Kapoe,ระนอง,Ranong,9.623,98.621,8,4,4
เกษตรสุวรรณ,KasetSuwan,ชลบุรี,Chon Buri,13.326,101.526,38,22,16
ป่ายุบใน,PaYupNai,ระยอง,Rayong,13.005,101.479,31,12,19
ตะเคียนปม,TakhianPom,ลำพูน,Lamphun,18.106,99.025,1,0,1
วาริชภูมิ,Waritchaphum,สกลนคร,Sakon Nakhon,17.232,103.642,15,9,6
วาริชภูมิ,Waritchaphum,สกลนคร,Sakon Nakhon,17.232,103.642,1,1,0
สำราญ,Samran,กาฬสินธุ์,Kalasin,16.954,103.522,6,4,2
กกปลาซิว,KokPlaSio,สกลนคร,Sakon Nakhon,16.969,104.042,0,0,0
ไทรทอง,SaiThong,สุราษฎร์ธานี,Surat Thani,8.389,99.073,3,3,0
เขาหลวง,KhaoLuang,เลย,Loei,17.336,101.674,7,3,4
น้ำกุ่ม,NamKum,พิษณุโลก,Phitsanulok,17.398,100.866,2,1,1
ภูกระดึง,PhuKradueng,เลย,Loei,16.971,101.85,3,3,0
ภูกระดึง,PhuKradueng,เลย,Loei,16.971,101.85,3,3,0
โบสถ์,Bot,นครราชสีมา,Nakhon Ratchasima,15.215,102.628,17,16,1
สหกรณ์นิคม,SahakonNikhom,กาญจนบุรี,Kanchanaburi,14.735,98.763,1856,965,891
เซกา,,บึงกาฬ,Bueng Kan,17.964,103.945,33,26,7
เซกา,,บึงกาฬ,Bueng Kan,17.964,103.945,13,12,1
ซับเปิบ,SapPoep,เพชรบูรณ์,Phetchabun,16.362,100.918,8,6,2
แม่พุง,MaePhung,แพร่,Phrae,17.866,99.539,6,2,4
สมเด็จเจริญ,SomdetCharoen,กาญจนบุรี,Kanchanaburi,14.746,99.338,27,15,12
หนองบัว,NongBua,ระยอง,Rayong,12.906,101.373,36,22,14
ไผ่โทน,PhaiThon,แพร่,Phrae,18.32,100.464,5,3,2
กรูด,Krut,สุราษฎร์ธานี,Surat Thani,8.949,99.126,37,19,18
โคกตะเคียน,KhokTakhian,สุรินทร์,Surin,14.48,103.505,14,11,3
ลาดบัวขาว,LatBuaKhao,นครราชสีมา,Nakhon Ratchasima,14.823,101.629,28,19,9
ลาดบัวขาว,LatBuaKhao,นครราชสีมา,Nakhon Ratchasima,14.823,101.629,2,1,1
หนองฝ้าย,NongFai,กาญจนบุรี,Kanchanaburi,14.682,99.642,14,5,9
หนองฝ้าย,NongFai,กาญจนบุรี,Kanchanaburi,14.682,99.642,61,31,30
ไม้ฝาด,MaiFat,ตรัง,Trang,7.505,99.369,12,7,5
ดอนทอง,DonThong,พิษณุโลก,Phitsanulok,16.884,100.392,5,4,1
หินฮาว,HinHao,เพชรบูรณ์,Phetchabun,16.951,101.215,4,4,0
ช่อแฮ,ChoHae,แพร่,Phrae,17.954,100.323,4,3,1
สถาน,Sathan,น่าน,Nan,18.236,100.745,4,2,2
เขาแก้ว,KhaoKaeo,จันทบุรี,Chanthaburi,12.867,101.939,23,14,9
บักได,BakDai,สุรินทร์,Surin,14.416,103.35,34,20,14
บ้านก้อง,BanKong,อุดรธานี,Udon Thani,17.821,102.079,5,4,1
สบปราบ,SopPrap,ลำปาง,Lampang,17.835,99.344,1,1,0
สบปราบ,SopPrap,ลำปาง,Lampang,17.835,99.344,2,1,1
บ้านฟ้า,BanFa,น่าน,Nan,18.782,100.429,3,0,3
เขาแดง,KhaoDaeng,สงขลา,Songkhla,6.505,100.802,6,1,5
ผาตั้ง,PhaTang,หนองคาย,Nong Khai,17.996,102.328,50,20,30
อุดมธัญญา,UdomThanya,นครสวรรค์,Nakhon Sawan,15.479,100.407,3,0,3
บองอ,Bo-Ngo,นราธิวาส,Narathiwat,6.172,101.753,5,1,4
ปงเตา,PongTao,ลำปาง,Lampang,18.839,99.927,158,76,82
ท่าปลา,ThaPla,อุตรดิตถ์,Uttaradit,17.845,100.448,3,0,3
ท่าปลา,ThaPla,อุตรดิตถ์,Uttaradit,17.845,100.448,3,3,0
แม่เจดีย์,MaeChedi,เชียงราย,Chiang Rai,19.164,99.367,48,25,23
