tambon_th,tambon_en,province_th,province_en,latitude,longitude,st_no,men,women
ท่าม่วง,ThaMuang,บุรีรัมย์,Buri Ram,15.3,103.442,5,4,1
แม่พริก,MaePhrik,เชียงราย,Chiang Rai,19.63,99.524,29,12,17
กุดจับ,KutChap,อุดรธานี,Udon Thani,17.382,102.515,28,20,8
กุดจับ,KutChap,อุดรธานี,Udon Thani,17.382,102.515,5,3,2
กง,Kong,สุโขทัย,Sukhothai,16.893,99.984,2,2,0
กง,Kong,สุโขทัย,Sukhothai,16.893,99.984,0,0,0
แสลงโทน,SalaengThon,บุรีรัมย์,Buri Ram,14.787,103.055,3,2,1
นาสะไม,NaSamai,อุบลราชธานี,Ubon Ratchathani,15.687,104.913,0,0,0
โนนศิลา,NonSila,กาฬสินธุ์,Kalasin,16.8,103.605,3,1,2
หันคา,HanKha,ชัยนาท,Chai Nat,15.016,99.998,3,2,1
หันคา,HanKha,ชัยนาท,Chai Nat,15.016,99.998,5,2,3
สะแก,Sakae,บุรีรัมย์,Buri Ram,15.3,103.354,3,3,0
กุดสะเทียน,KutSathian,หนองบัวลำภู,Nong Bua Lam Phu,17.056,102.238,3,3,0
บ้านขาม,BanKham,ขอนแก่น,Khon Kaen,16.568,102.952,16,9,7
ตะแบกบาน,TabaekBan,นครราชสีมา,Nakhon Ratchasima,14.462,102.343,6,6,0
วังหว้า,WangWa,ระยอง,Rayong,12.763,101.624,21,13,8
วังหว้า,WangWa,ระยอง,Rayong,12.763,101.624,3,3,0
สะเอะ,Sa-Ae,ยะลา,Yala,6.398,101.202,2,2,0
น้ำคำ,NamKham,ยโสธร,Yasothon,16.015,104.486,3,1,2
ป่าแดด,PaDaet,เชียงราย,Chiang Rai,19.507,100.015,0,0,0
ป่าแดด,PaDaet,เชียงราย,Chiang Rai,19.507,100.015,22,9,13
เด่นใหญ่,DenYai,ชัยนาท,Chai Nat,15.017,99.93,5,3,2
ดงมะรุม,DongMarum,ลพบุรี,Lop Buri,15.127,100.877,9,4,5
โคกสะตอ,KhokSato,นราธิวาส,Narathiwat,6.282,101.449,1,0,1
พุเตย,PhuToei,เพชรบูรณ์,Phetchabun,15.586,101.018,5,4,1
พุเตย,PhuToei,เพชรบูรณ์,Phetchabun,15.586,101.018,11,10,1
